onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror
12.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	no
16.0	2.0	primate_running	primate	running	taxonomy	none	none	no
20.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	yes
24.0	2.0	primate_swimming	primate	swimming	taxonomy	behavior	none	yes
28.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	yes
32.0	2.0	bird_running	bird	running	taxonomy	none	none	yes
36.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no
40.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	no
44.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	no
48.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	yes
52.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	no
56.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	no
60.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	no
64.0	2.0	bird_running	bird	running	taxonomy	none	none	no
68.0	2.0	insect_eating	insect	eating	taxonomy	none	none	yes
72.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	no
76.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	no
80.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	yes
84.0	2.0	bird_eating	bird	eating	taxonomy	none	none	yes
88.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	yes
92.0	2.0	insect_running	insect	running	taxonomy	taxonomy	0.402224063873	yes
100.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	yes
104.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	yes
108.0	2.0	insect_running	insect	running	taxonomy	none	none	yes
112.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	no
116.0	2.0	primate_eating	primate	eating	taxonomy	none	none	yes
120.0	2.0	insect_running	insect	running	taxonomy	none	none	no
124.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	yes
128.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	yes
132.0	2.0	bird_running	bird	running	taxonomy	taxonomy	0.379999160767	yes
136.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	yes
140.0	2.0	reptile_running	reptile	running	taxonomy	none	none	no
144.0	2.0	insect_eating	insect	eating	taxonomy	none	none	no
148.0	2.0	bird_running	bird	running	taxonomy	none	none	yes
152.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	yes
156.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	yes
160.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	yes
164.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	no
168.0	2.0	primate_running	primate	running	taxonomy	none	none	no
172.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	no
176.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	behavior	none	yes
180.0	2.0	insect_eating	insect	eating	taxonomy	none	none	yes
184.0	2.0	primate_running	primate	running	taxonomy	none	none	yes
188.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	no
196.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	no
200.0	2.0	insect_running	insect	running	taxonomy	none	none	no
204.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	no
208.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	yes
212.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	yes
220.0	2.0	primate_eating	primate	eating	taxonomy	none	none	no
224.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	yes
228.0	2.0	bird_eating	bird	eating	taxonomy	none	none	no
232.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	yes
236.0	2.0	primate_running	primate	running	taxonomy	none	none	yes
240.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no
244.0	2.0	insect_eating	insect	eating	taxonomy	taxonomy	0.350702047348	yes
248.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	no
252.0	2.0	insect_swimming	insect	swimming	taxonomy	behavior	none	yes
256.0	2.0	reptile_running	reptile	running	taxonomy	none	none	yes
260.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	yes
264.0	2.0	reptile_running	reptile	running	taxonomy	none	none	no
268.0	2.0	bird_eating	bird	eating	taxonomy	none	none	no
272.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	yes
276.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	no
280.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	yes
284.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	no
288.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	yes
292.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	no
296.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	behavior	none	yes
300.0	2.0	bird_eating	bird	eating	taxonomy	none	none	yes
304.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	no
308.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	yes
312.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	yes
316.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	no
320.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	taxonomy	0.287822961807	yes
324.0	2.0	primate_eating	primate	eating	taxonomy	none	none	yes
328.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	yes
332.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	no
336.0	2.0	reptile_running	reptile	running	taxonomy	none	none	yes
340.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	yes
344.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	no
348.0	2.0	primate_eating	primate	eating	taxonomy	none	none	no
352.0	2.0	insect_running	insect	running	taxonomy	none	none	yes
356.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	no
360.0	2.0	bird_running	bird	running	taxonomy	none	none	no
368.0	2.0	insect_eating	insect	eating	taxonomy	none	none	no
372.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	no
376.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	yes
