onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror
236.0	2.0	insect_swimming	insect	swimming	behavior	none	none	no
240.0	2.0	primate_fighting	primate	fighting	behavior	none	none	yes
244.0	2.0	bird_running	bird	running	behavior	none	none	yes
248.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	no
252.0	2.0	ungulate_running	ungulate	running	behavior	none	none	yes
256.0	2.0	bird_eating	bird	eating	behavior	none	none	no
260.0	2.0	insect_running	insect	running	behavior	none	none	yes
264.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	yes
268.0	2.0	primate_eating	primate	eating	behavior	none	none	no
272.0	2.0	insect_swimming	insect	swimming	behavior	none	none	no
276.0	2.0	reptile_eating	reptile	eating	behavior	none	none	no
280.0	2.0	primate_swimming	primate	swimming	behavior	none	none	no
284.0	2.0	bird_eating	bird	eating	behavior	none	none	no
288.0	2.0	insect_fighting	insect	fighting	behavior	none	none	yes
292.0	2.0	bird_running	bird	running	behavior	none	none	no
296.0	2.0	reptile_eating	reptile	eating	behavior	none	none	no
300.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	yes
304.0	2.0	bird_running	bird	running	behavior	none	none	yes
308.0	2.0	insect_eating	insect	eating	behavior	none	none	no
312.0	2.0	bird_running	bird	running	behavior	none	none	no
316.0	2.0	insect_eating	insect	eating	behavior	none	none	no
320.0	2.0	reptile_eating	reptile	eating	behavior	behavior	0.532537937164	no
328.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	no
332.0	2.0	primate_running	primate	running	behavior	none	none	no
336.0	2.0	insect_fighting	insect	fighting	behavior	none	none	yes
340.0	2.0	primate_swimming	primate	swimming	behavior	none	none	no
344.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	no
348.0	2.0	reptile_running	reptile	running	behavior	none	none	yes
352.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	yes
356.0	2.0	insect_eating	insect	eating	behavior	none	none	yes
360.0	2.0	bird_fighting	bird	fighting	behavior	none	none	yes
364.0	2.0	bird_running	bird	running	behavior	taxonomy	none	no
368.0	2.0	primate_swimming	primate	swimming	behavior	none	none	yes
372.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	yes
376.0	2.0	insect_swimming	insect	swimming	behavior	none	none	yes
