onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror
12.0	2.0	bird_swimming	bird	swimming	behavior	none	none	no
16.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	yes
20.0	2.0	reptile_running	reptile	running	behavior	none	none	no
24.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	no
28.0	2.0	bird_swimming	bird	swimming	behavior	none	none	yes
32.0	2.0	insect_running	insect	running	behavior	none	none	yes
36.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	no
40.0	2.0	ungulate_running	ungulate	running	behavior	none	none	no
44.0	2.0	primate_fighting	primate	fighting	behavior	none	none	yes
48.0	2.0	bird_eating	bird	eating	behavior	none	none	yes
52.0	2.0	primate_fighting	primate	fighting	behavior	none	none	no
56.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	no
64.0	2.0	primate_fighting	primate	fighting	behavior	none	none	no
68.0	2.0	bird_eating	bird	eating	behavior	none	none	yes
72.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	yes
76.0	2.0	insect_running	insect	running	behavior	none	none	no
80.0	2.0	insect_fighting	insect	fighting	behavior	taxonomy	none	no
84.0	2.0	primate_eating	primate	eating	behavior	none	none	yes
88.0	2.0	bird_eating	bird	eating	behavior	behavior	0.596602916718	no
92.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	no
96.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	yes
100.0	2.0	insect_running	insect	running	behavior	none	none	no
104.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	no
108.0	2.0	reptile_eating	reptile	eating	behavior	none	none	yes
112.0	2.0	bird_fighting	bird	fighting	behavior	none	none	yes
116.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	no
120.0	2.0	insect_eating	insect	eating	behavior	none	none	yes
128.0	2.0	primate_running	primate	running	behavior	none	none	no
132.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	no
136.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	yes
140.0	2.0	insect_swimming	insect	swimming	behavior	none	none	yes
144.0	2.0	reptile_running	reptile	running	behavior	none	none	yes
148.0	2.0	primate_eating	primate	eating	behavior	none	none	yes
152.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	yes
156.0	2.0	primate_fighting	primate	fighting	behavior	behavior	0.466485023499	no
160.0	2.0	bird_swimming	bird	swimming	behavior	none	none	yes
164.0	2.0	insect_fighting	insect	fighting	behavior	none	none	no
168.0	2.0	ungulate_running	ungulate	running	behavior	none	none	no
172.0	2.0	bird_fighting	bird	fighting	behavior	none	none	no
176.0	2.0	primate_running	primate	running	behavior	none	none	yes
180.0	2.0	primate_eating	primate	eating	behavior	taxonomy	none	no
184.0	2.0	insect_fighting	insect	fighting	behavior	none	none	no
188.0	2.0	primate_running	primate	running	behavior	none	none	yes
192.0	2.0	reptile_eating	reptile	eating	behavior	none	none	yes
196.0	2.0	bird_fighting	bird	fighting	behavior	none	none	no
200.0	2.0	primate_swimming	primate	swimming	behavior	none	none	yes
204.0	2.0	primate_fighting	primate	fighting	behavior	taxonomy	none	no
208.0	2.0	ungulate_running	ungulate	running	behavior	none	none	yes
212.0	2.0	primate_running	primate	running	behavior	behavior	0.559459209442	no
220.0	2.0	bird_swimming	bird	swimming	behavior	none	none	no
224.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	yes
228.0	2.0	reptile_running	reptile	running	behavior	none	none	no
232.0	2.0	primate_eating	primate	eating	behavior	none	none	no
