onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror
12.0	2.0	insect_eating	insect	eating	taxonomy	none	none	no
16.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	no
24.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	yes
28.0	2.0	bird_eating	bird	eating	taxonomy	none	none	yes
32.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	yes
36.0	2.0	insect_eating	insect	eating	taxonomy	none	none	yes
40.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	yes
44.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	no
48.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	taxonomy	-1.22575902939	no
52.0	2.0	insect_running	insect	running	taxonomy	none	none	no
56.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	no
60.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	yes
64.0	2.0	primate_running	primate	running	taxonomy	none	none	yes
68.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	yes
72.0	2.0	bird_eating	bird	eating	taxonomy	none	none	yes
76.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	yes
80.0	2.0	reptile_fighting	reptile	fighting	taxonomy	behavior	none	no
84.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	no
88.0	2.0	primate_eating	primate	eating	taxonomy	none	none	yes
92.0	2.0	reptile_running	reptile	running	taxonomy	none	none	yes
96.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	no
100.0	2.0	primate_running	primate	running	taxonomy	none	none	no
104.0	2.0	bird_eating	bird	eating	taxonomy	none	none	no
108.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	no
112.0	2.0	primate_running	primate	running	taxonomy	none	none	yes
116.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	yes
120.0	2.0	insect_running	insect	running	taxonomy	none	none	yes
124.0	2.0	primate_running	primate	running	taxonomy	behavior	none	no
128.0	2.0	bird_eating	bird	eating	taxonomy	none	none	no
132.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	yes
136.0	2.0	insect_eating	insect	eating	taxonomy	none	none	no
140.0	2.0	bird_running	bird	running	taxonomy	none	none	no
144.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	no
148.0	2.0	reptile_running	reptile	running	taxonomy	none	none	no
152.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	yes
156.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	yes
160.0	2.0	insect_eating	insect	eating	taxonomy	taxonomy	0.318853139877	no
164.0	2.0	bird_running	bird	running	taxonomy	none	none	yes
168.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	yes
172.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	yes
176.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	yes
180.0	2.0	bird_running	bird	running	taxonomy	none	none	yes
184.0	2.0	ungulate_swimming	ungulate	swimming	taxonomy	none	none	yes
192.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	yes
196.0	2.0	insect_eating	insect	eating	taxonomy	none	none	yes
200.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	no
204.0	2.0	primate_eating	primate	eating	taxonomy	none	none	no
208.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	no
212.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	yes
216.0	2.0	insect_running	insect	running	taxonomy	none	none	no
220.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	no
224.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	yes
228.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	no
232.0	2.0	ungulate_fighting	ungulate	fighting	taxonomy	none	none	no
236.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	yes
240.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	no
244.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	no
248.0	2.0	primate_eating	primate	eating	taxonomy	none	none	no
252.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	no
260.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	yes
264.0	2.0	insect_running	insect	running	taxonomy	taxonomy	0.245062828064	no
268.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	no
272.0	2.0	reptile_swimming	reptile	swimming	taxonomy	behavior	none	no
276.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	no
280.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	no
284.0	2.0	primate_running	primate	running	taxonomy	none	none	no
288.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	yes
292.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	no
296.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	yes
300.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	yes
304.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	no
308.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	no
312.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	yes
316.0	2.0	insect_swimming	insect	swimming	taxonomy	none	none	no
320.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	yes
324.0	2.0	reptile_running	reptile	running	taxonomy	none	none	yes
328.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	no
332.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	yes
336.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no
340.0	2.0	bird_running	bird	running	taxonomy	none	none	no
344.0	2.0	insect_running	insect	running	taxonomy	behavior	none	no
348.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	no
352.0	2.0	reptile_eating	reptile	eating	taxonomy	taxonomy	none	no
356.0	2.0	insect_running	insect	running	taxonomy	none	none	yes
360.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	yes
364.0	2.0	reptile_running	reptile	running	taxonomy	none	none	no
368.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no
376.0	2.0	primate_eating	primate	eating	taxonomy	none	none	yes
