onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror
268.0	2.0	reptile_swimming	reptile	swimming	taxonomy	none	none	no
272.0	2.0	ungulate_eating	ungulate	eating	taxonomy	none	none	no
276.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	no
280.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	yes
284.0	2.0	primate_fighting	primate	fighting	taxonomy	none	none	no
288.0	2.0	insect_running	insect	running	taxonomy	none	none	no
292.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	no
296.0	2.0	reptile_fighting	reptile	fighting	taxonomy	none	none	yes
300.0	2.0	insect_eating	insect	eating	taxonomy	none	none	no
304.0	2.0	primate_running	primate	running	taxonomy	none	none	no
308.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no
312.0	2.0	reptile_running	reptile	running	taxonomy	none	none	yes
316.0	2.0	reptile_fighting	reptile	fighting	taxonomy	taxonomy	none	no
320.0	2.0	primate_eating	primate	eating	taxonomy	none	none	no
324.0	2.0	insect_fighting	insect	fighting	taxonomy	none	none	no
328.0	2.0	reptile_running	reptile	running	taxonomy	none	none	no
332.0	2.0	ungulate_running	ungulate	running	taxonomy	behavior	none	no
336.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	yes
340.0	2.0	primate_swimming	primate	swimming	taxonomy	none	none	no
344.0	2.0	bird_fighting	bird	fighting	taxonomy	none	none	no
348.0	2.0	ungulate_running	ungulate	running	taxonomy	none	none	yes
352.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	yes
360.0	2.0	insect_running	insect	running	taxonomy	none	none	no
364.0	2.0	bird_swimming	bird	swimming	taxonomy	none	none	yes
368.0	2.0	primate_running	primate	running	taxonomy	none	none	yes
372.0	2.0	reptile_eating	reptile	eating	taxonomy	none	none	yes
376.0	2.0	bird_running	bird	running	taxonomy	none	none	yes
