onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror
12.0	2.0	insect_running	insect	running	behavior	none	none	yes
16.0	2.0	reptile_eating	reptile	eating	behavior	none	none	no
20.0	2.0	insect_running	insect	running	behavior	none	none	no
24.0	2.0	insect_eating	insect	eating	behavior	taxonomy	none	yes
28.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	yes
32.0	2.0	reptile_running	reptile	running	behavior	none	none	yes
36.0	2.0	primate_swimming	primate	swimming	behavior	none	none	no
40.0	2.0	bird_running	bird	running	behavior	none	none	no
44.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	yes
48.0	2.0	primate_eating	primate	eating	behavior	none	none	no
52.0	2.0	bird_swimming	bird	swimming	behavior	none	none	yes
56.0	2.0	insect_running	insect	running	behavior	none	none	yes
60.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	yes
64.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	yes
72.0	2.0	bird_running	bird	running	behavior	none	none	yes
76.0	2.0	reptile_eating	reptile	eating	behavior	none	none	no
80.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	no
84.0	2.0	bird_swimming	bird	swimming	behavior	none	none	no
88.0	2.0	ungulate_running	ungulate	running	behavior	none	none	no
92.0	2.0	bird_swimming	bird	swimming	behavior	none	none	no
96.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	no
100.0	2.0	primate_fighting	primate	fighting	behavior	behavior	0.880225896835	yes
104.0	2.0	insect_eating	insect	eating	behavior	none	none	yes
108.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	yes
112.0	2.0	primate_eating	primate	eating	behavior	none	none	yes
116.0	2.0	bird_fighting	bird	fighting	behavior	none	none	no
120.0	2.0	reptile_running	reptile	running	behavior	none	none	no
124.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	yes
128.0	2.0	primate_fighting	primate	fighting	behavior	none	none	no
132.0	2.0	reptile_running	reptile	running	behavior	none	none	no
136.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	yes
140.0	2.0	bird_swimming	bird	swimming	behavior	none	none	yes
144.0	2.0	insect_eating	insect	eating	behavior	none	none	no
148.0	2.0	insect_running	insect	running	behavior	taxonomy	none	yes
156.0	2.0	primate_fighting	primate	fighting	behavior	none	none	yes
160.0	2.0	bird_fighting	bird	fighting	behavior	behavior	0.35915517807	yes
164.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	no
168.0	2.0	primate_fighting	primate	fighting	behavior	none	none	yes
172.0	2.0	bird_eating	bird	eating	behavior	none	none	yes
176.0	2.0	ungulate_running	ungulate	running	behavior	none	none	no
180.0	2.0	reptile_eating	reptile	eating	behavior	none	none	yes
184.0	2.0	insect_fighting	insect	fighting	behavior	none	none	no
188.0	2.0	bird_running	bird	running	behavior	none	none	no
192.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	no
196.0	2.0	bird_fighting	bird	fighting	behavior	none	none	yes
200.0	2.0	insect_swimming	insect	swimming	behavior	none	none	yes
204.0	2.0	bird_eating	bird	eating	behavior	none	none	no
212.0	2.0	primate_swimming	primate	swimming	behavior	none	none	yes
216.0	2.0	primate_running	primate	running	behavior	taxonomy	none	yes
220.0	2.0	bird_eating	bird	eating	behavior	none	none	no
224.0	2.0	insect_running	insect	running	behavior	none	none	no
228.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	no
232.0	2.0	primate_running	primate	running	behavior	none	none	no
236.0	2.0	insect_swimming	insect	swimming	behavior	none	none	yes
240.0	2.0	reptile_running	reptile	running	behavior	none	none	yes
244.0	2.0	insect_fighting	insect	fighting	behavior	none	none	yes
248.0	2.0	primate_swimming	primate	swimming	behavior	none	none	no
252.0	2.0	bird_running	bird	running	behavior	none	none	yes
256.0	2.0	insect_fighting	insect	fighting	behavior	none	none	no
260.0	2.0	primate_running	primate	running	behavior	none	none	yes
264.0	2.0	bird_fighting	bird	fighting	behavior	none	none	yes
268.0	2.0	insect_fighting	insect	fighting	behavior	behavior	0.666654825211	yes
272.0	2.0	primate_running	primate	running	behavior	none	none	yes
276.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	yes
