onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror
12.0	2.0	ungulate_running	ungulate	running	behavior	none	none	no
16.0	2.0	bird_fighting	bird	fighting	behavior	none	none	yes
20.0	2.0	insect_swimming	insect	swimming	behavior	none	none	yes
28.0	2.0	bird_eating	bird	eating	behavior	none	none	yes
32.0	2.0	ungulate_eating	ungulate	eating	behavior	behavior	0.591758012772	no
36.0	2.0	primate_fighting	primate	fighting	behavior	none	none	yes
40.0	2.0	bird_swimming	bird	swimming	behavior	none	none	no
44.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	yes
48.0	2.0	bird_running	bird	running	behavior	none	none	yes
52.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	yes
56.0	2.0	insect_fighting	insect	fighting	behavior	none	none	yes
60.0	2.0	primate_running	primate	running	behavior	none	none	no
64.0	2.0	insect_swimming	insect	swimming	behavior	none	none	yes
68.0	2.0	reptile_eating	reptile	eating	behavior	none	none	yes
72.0	2.0	insect_running	insect	running	behavior	none	none	no
76.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	yes
80.0	2.0	insect_fighting	insect	fighting	behavior	none	none	no
84.0	2.0	insect_swimming	insect	swimming	behavior	taxonomy	none	no
88.0	2.0	ungulate_running	ungulate	running	behavior	none	none	yes
92.0	2.0	bird_fighting	bird	fighting	behavior	none	none	yes
96.0	2.0	reptile_eating	reptile	eating	behavior	none	none	no
100.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	no
104.0	2.0	reptile_eating	reptile	eating	behavior	none	none	no
108.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	yes
112.0	2.0	reptile_running	reptile	running	behavior	none	none	no
116.0	2.0	bird_swimming	bird	swimming	behavior	none	none	yes
120.0	2.0	insect_swimming	insect	swimming	behavior	behavior	0.788218975067	no
124.0	2.0	bird_eating	bird	eating	behavior	none	none	no
128.0	2.0	reptile_running	reptile	running	behavior	none	none	yes
132.0	2.0	primate_fighting	primate	fighting	behavior	none	none	no
136.0	2.0	insect_running	insect	running	behavior	none	none	yes
140.0	2.0	bird_fighting	bird	fighting	behavior	none	none	no
144.0	2.0	insect_eating	insect	eating	behavior	none	none	no
148.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	yes
152.0	2.0	insect_eating	insect	eating	behavior	none	none	yes
156.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	yes
160.0	2.0	bird_running	bird	running	behavior	none	none	no
164.0	2.0	primate_swimming	primate	swimming	behavior	none	none	no
168.0	2.0	reptile_running	reptile	running	behavior	none	none	yes
172.0	2.0	bird_swimming	bird	swimming	behavior	none	none	no
176.0	2.0	insect_eating	insect	eating	behavior	none	none	no
184.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	no
188.0	2.0	reptile_eating	reptile	eating	behavior	none	none	yes
192.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	no
196.0	2.0	primate_running	primate	running	behavior	none	none	yes
200.0	2.0	bird_eating	bird	eating	behavior	none	none	no
204.0	2.0	insect_running	insect	running	behavior	none	none	yes
208.0	2.0	primate_fighting	primate	fighting	behavior	none	none	yes
212.0	2.0	bird_eating	bird	eating	behavior	none	none	yes
216.0	2.0	primate_running	primate	running	behavior	none	none	no
220.0	2.0	primate_eating	primate	eating	behavior	taxonomy	none	no
224.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	no
228.0	2.0	primate_swimming	primate	swimming	behavior	none	none	yes
232.0	2.0	reptile_running	reptile	running	behavior	none	none	no
236.0	2.0	primate_eating	primate	eating	behavior	none	none	yes
240.0	2.0	ungulate_eating	ungulate	eating	behavior	behavior	0.560572862625	no
244.0	2.0	bird_running	bird	running	behavior	none	none	no
248.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	yes
252.0	2.0	insect_eating	insect	eating	behavior	none	none	yes
256.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	yes
264.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	no
268.0	2.0	primate_fighting	primate	fighting	behavior	none	none	no
272.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	yes
276.0	2.0	insect_running	insect	running	behavior	none	none	no
280.0	2.0	primate_eating	primate	eating	behavior	none	none	yes
284.0	2.0	ungulate_running	ungulate	running	behavior	none	none	no
288.0	2.0	ungulate_swimming	ungulate	swimming	behavior	taxonomy	none	no
292.0	2.0	primate_eating	primate	eating	behavior	none	none	no
296.0	2.0	insect_fighting	insect	fighting	behavior	none	none	no
300.0	2.0	primate_swimming	primate	swimming	behavior	none	none	yes
304.0	2.0	bird_fighting	bird	fighting	behavior	none	none	no
308.0	2.0	ungulate_running	ungulate	running	behavior	none	none	yes
312.0	2.0	bird_running	bird	running	behavior	behavior	none	no
316.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	yes
320.0	2.0	bird_swimming	bird	swimming	behavior	none	none	yes
324.0	2.0	primate_running	primate	running	behavior	none	none	yes
328.0	2.0	insect_fighting	insect	fighting	behavior	none	none	yes
332.0	2.0	bird_running	bird	running	behavior	none	none	yes
336.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	no
340.0	2.0	primate_swimming	primate	swimming	behavior	none	none	no
344.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	no
348.0	2.0	insect_swimming	insect	swimming	behavior	none	none	no
352.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	no
356.0	2.0	primate_eating	primate	eating	behavior	none	none	no
360.0	2.0	insect_swimming	insect	swimming	behavior	none	none	no
364.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	no
368.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	no
376.0	2.0	bird_eating	bird	eating	behavior	none	none	no
